IDNum	Name	Height	Weight	time-1	time-2	time-3
3204	Athlete-58	6.2	223.5	10.0	10.4	10.3
3338	Athlete-59	6.4	176.3	9.8	10.5	9.8
4482	Athlete-60	5.9	238.9	10.4	10.4	10.2
3898	Athlete-61	6.3	228.1	10.0	10.1	10.3
4274	Athlete-62	5.9	218.8	9.8	10.5	10.3
2301	Athlete-63	6.0	216.7	10.0	9.8	10.4
4966	Athlete-64	6.3	176.6	10.1	10.0	10.1
1834	Athlete-65	6.2	220.5	9.9	10.1	10.4
 906	Athlete-66	5.7	208.5	10.4	10.6	9.8
3223	Athlete-67	6.3	177.5	9.7	10.6	10.0
3927	Athlete-68	5.9	232.4	10.4	10.6	9.8
2357	Athlete-69	5.9	165.0	10.2	10.0	10.3
2265	Athlete-70	5.8	183.1	10.2	10.5	10.1
4196	Athlete-71	6.4	183.4	9.7	10.1	10.1
4236	Athlete-72	6.4	195.6	9.8	10.6	9.9
2672	Athlete-73	6.1	207.3	10.5	10.5	9.9
1028	Athlete-74	6.5	214.6	9.8	9.8	10.1
4113	Athlete-75	5.9	224.3	9.8	10.1	10.6
4931	Athlete-76	6.2	198.6	10.2	9.9	9.7
3752	Athlete-77	6.1	172.1	10.1	9.8	10.3
 831	Athlete-78	5.7	222.3	10.6	10.4	10.6
4626	Athlete-79	6.6	177.2	9.9	10.0	10.1
2401	Athlete-80	5.9	231.5	10.2	9.8	9.8
3408	Athlete-81	6.4	207.7	10.4	10.4	10.4
2063	Athlete-82	5.7	183.5	10.2	10.2	10.0
2125	Athlete-83	5.8	203.0	10.5	9.9	10.6
4669	Athlete-84	6.1	192.7	10.0	10.0	9.9
4330	Athlete-85	6.0	169.9	9.8	10.3	10.5
3517	Athlete-86	5.7	229.8	9.7	10.5	10.4
2840	Athlete-87	6.2	165.2	10.1	10.1	10.6
2713	Athlete-88	5.6	186.3	10.1	10.5	9.9
2869	Athlete-89	5.9	222.3	10.1	9.8	10.6
1806	Athlete-90	6.2	177.4	10.4	10.1	9.7
 710	Athlete-91	6.4	205.1	10.0	10.5	10.0
1383	Athlete-92	6.4	195.5	10.1	10.0	10.6
2811	Athlete-93	6.1	191.9	9.7	9.8	10.6
1140	Athlete-94	6.0	177.2	10.2	10.5	9.9
 897	Athlete-95	5.8	184.9	10.2	10.6	10.1
1033	Athlete-96	6.3	187.6	10.2	10.6	10.5
5000	Athlete-97	5.9	177.6	10.0	10.5	10.0
2292	Athlete-98	6.0	171.3	10.5	10.1	10.3
2436	Athlete-99	6.3	196.7	10.2	9.9	9.9
